,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CaseNumber,IUCR,Primary Type,Arrest,Domestic,Beat,District,FBI Code,Year,Crime_Date,Crime_Time,Month,Day,DayOT,Crime_Date_Day,Crime_month,CrimeType,Date,code_Crime_Time,code_Date,code_Primary,Labels
684680,684680,684680,684680,HW534012,5007,5007,0,0,1653,16,26,2013,2013-11-15,05:45:00,November,Friday,Night,15,11,group3,15/11,428,74,341,2
483224,483224,483224,483224,HW222160,2027,2027,1,0,724,7,18,2013,2013-04-06,16:41:00,April,Saturday,Afternoon,6,4,group5,6/4,2883,324,254,0
691642,691642,691642,691642,HW554197,0910,0910,0,0,221,2,07,2013,2013-11-30,18:40:00,November,Saturday,Evening,30,11,group1,30/11,3509,278,97,1
497086,497086,497086,497086,HW243452,0560,0560,0,1,2234,22,08A,2013,2013-04-22,14:47:00,April,Monday,Afternoon,22,4,group2,22/4,2305,174,73,0
635028,635028,635028,635028,HW463300,0860,0860,0,0,1935,19,06,2013,2013-09-22,17:00:00,September,Sunday,Afternoon,22,9,group1,22/9,2982,179,91,0
815387,815387,815387,815387,HX279557,1320,1320,0,0,332,3,14,2014,2014-05-28,11:15:00,May,Wednesday,Morning,28,5,group1,28/5,1252,247,152,2
984109,984109,984109,984109,HZ132087,2024,2024,1,0,1134,11,18,2016,2016-01-28,16:21:00,January,Thursday,Afternoon,28,1,group5,28/1,2786,240,251,0
1334330,1334330,1334330,1334330,HZ382697,031A,031A,0,0,1523,15,03,2016,2016-08-07,22:25:00,August,Sunday,Evening,7,8,group2,7/8,4404,340,18,1
157860,157860,157860,157860,HV231661,1320,1320,0,0,821,8,14,2012,2012-04-07,00:30:00,April,Saturday,Night,7,4,group1,7/4,47,336,152,2
882803,882803,882803,882803,HX391659,0430,0430,1,0,433,4,04B,2014,2014-08-17,17:56:00,August,Sunday,Afternoon,17,8,group2,17/8,3273,106,33,1
1130460,1130460,1130460,1130460,HY442359,0460,0460,0,0,433,4,08B,2015,2015-09-28,22:00:00,September,Monday,Evening,28,9,group2,28/9,4341,251,39,1
150179,150179,150179,150179,HV219422,0860,0860,1,0,933,9,06,2012,2012-03-29,11:15:00,March,Thursday,Morning,29,3,group1,29/3,1252,257,91,2
1331526,1331526,1331526,1331526,HZ385408,0890,0890,0,0,823,8,06,2016,2016-07-16,14:00:00,July,Saturday,Afternoon,16,7,group1,16/7,2074,93,95,0
591175,591175,591175,591175,HW394417,0820,0820,0,0,912,9,06,2013,2013-08-02,21:00:00,August,Friday,Evening,2,8,group1,2/8,4156,142,84,1
390051,390051,390051,390051,HV596070,1811,1811,1,0,312,3,18,2012,2012-12-09,20:55:00,December,Sunday,Evening,9,12,group5,9/12,4142,357,229,1
670737,670737,670737,670737,HW521000,2027,2027,1,0,1131,11,18,2013,2013-11-04,23:50:00,November,Monday,Evening,4,11,group5,4/11,4577,296,254,1
121831,121831,121831,121831,HV173992,0460,0460,0,0,2411,24,08B,2012,2012-02-26,21:40:00,February,Sunday,Evening,26,2,group2,26/2,4282,220,39,1
811953,811953,811953,811953,HX273783,5000,5000,0,0,1733,17,26,2014,2014-05-23,14:30:00,May,Friday,Afternoon,23,5,group3,23/5,2226,187,336,0
569730,569730,569730,569730,HW360134,0460,0460,0,0,2022,20,08B,2013,2013-07-13,01:25:00,July,Saturday,Night,13,7,group2,13/7,122,57,39,2
987632,987632,987632,987632,HY194169,0820,0820,0,0,1731,17,06,2015,2015-03-20,18:00:00,March,Friday,Evening,20,3,group1,20/3,3287,149,84,1
1342039,1342039,1342039,1342039,HZ398010,0460,0460,1,0,1831,18,08B,2016,2016-08-18,23:00:00,August,Thursday,Evening,18,8,group2,18/8,4485,118,39,1
1283713,1283713,1283713,1283713,HZ298007,502R,502R,1,0,611,6,26,2016,2016-06-07,22:09:00,June,Tuesday,Evening,7,6,group3,7/6,4362,338,351,1
771777,771777,771777,771777,HX206207,0460,0460,1,0,1513,15,08B,2014,2014-03-31,20:35:00,March,Monday,Evening,31,3,group2,31/3,4062,290,39,1
271421,271421,271421,271421,HV409911,0486,0486,1,1,1412,14,08B,2012,2012-08-01,01:50:00,August,Wednesday,Night,1,8,group2,1/8,153,10,51,2
105881,105881,105881,105881,HV146867,031A,031A,0,0,1022,10,03,2012,2012-02-05,21:30:00,February,Sunday,Evening,5,2,group2,5/2,4246,310,18,1
663438,663438,663438,663438,HW508990,0820,0820,0,0,1212,12,06,2013,2013-10-22,22:00:00,October,Tuesday,Evening,22,10,group1,22/10,4341,169,84,1
306876,306876,306876,306876,HV465144,0910,0910,0,0,1111,11,07,2012,2012-09-06,20:00:00,September,Thursday,Evening,6,9,group1,6/9,3915,329,97,1
1084400,1084400,1084400,1084400,HY362773,1210,1210,1,0,1924,19,11,2015,2015-07-31,01:50:00,July,Friday,Night,31,7,group5,31/7,153,292,138,2
749679,749679,749679,749679,HX167020,1505,1505,1,0,1834,18,16,2014,2014-02-27,23:20:00,February,Thursday,Evening,27,2,group4,27/2,4530,232,178,1
1373314,1373314,1373314,1373314,HZ453520,0870,0870,0,0,1831,18,06,2016,2016-09-25,02:00:00,September,Sunday,Night,25,9,group1,25/9,166,215,93,2
